review|sentiment
It’s loud but it does the job|Negative
Great fit. Fast shipping! Good job guys!!!!|Positive
This promised to cool 250 sq ft. It did not -- I first used it in my kitchen area, which has two open doorways. I didn't expect it to work much more than a good fan in that area. However, when I moved it into my bedroom and closed the door, it was just about the same. I used the 2 ice packs that came with the unit, added more ice, and cold water, so it certainly wasn't that. In addition, it is not very quiet. I took it back the next day.|Negative
Product is great works great except for the remote never worked from day one. As stated the unit is great but the installation instructions are not clear at all. Installing took some general contractor know how to get it in securely. I recommend the product but higher a contractor to do the install.|Negative
Purchased this unit to cool a small bedroom. It was easy to assemble and its functions all worked. However it absolutley did not cool the room. It moved little to no air. I wouldn't even recommend it as a fan. We tried the tips others had posted online, such as adding frozen bottles of water to the water tank etc... nothing worked. You have to adjust the water volume the unit moves to very slow. If you adjust to a level where it moves the water at a rate that would seem to aid in the cooling effect, it leaks water out of the side of the unit. If you do purchase this unit consider placing a pan underneath it to catch the water that leaks out to avoid damage to your flooring and or carpets. We are returning the unit to our local store. Don't waist your time or money on this unit.|Negative
Of the 5 portable coolers I have used, this one is the best. It has large air intake & output surfaces along with an easy to fill high capacity water tank. My cooler sits on a TV turntable that allows easy access to the back of the unit & to other areas to be directly cooled.|Positive
"Installed cooler pump in less than 10 min. it was so easy and I've been ""cool"" sailing! ever since."|Positive
The pump was easy to install and works perfectly for our swamp cooler|Positive
Working very good so far . I love it|Positive
This big bulky cooler has an impressive size and is thus far disappointing After spending six hours cutting a hole for this big thing into my wall and installing it, I find that it's fan even though a 1/8th horse power like my other swamp coolers by a different manufacturer, runs without the power that my others do. I have swamp coolers that drop the room temperature easily 20 degrees and reach across the room, unfortunately no one carries these anymore, and I had to buy this untried and reviewed one. I'm not impressed. If you are looking for modest cooling, that is somewhat quiet, then this will work although it's front end is so big it won't easily fit many windows today and will require cutting through a beam in a wall if that is the way you go. Also, I find the compression pieces a hassle in general, they leak from the start and as pressure is built up on the compression piece by the shutoff valve inside, they spay all over the place. Now I have a big hole in my wall made specifically for this big thing and I will likely return it.|Negative
works fine|Positive
This cooler works well in my greenhouse---cools well, and has a big reservoir. The problem is that the hose connection leaks enough that I have to manually fill the reservoir rather than leave the hose connected for auto-fill. Big inconvenience!|Positive
The build/assembly quality is not very good. The bottom pan has a dent and doesn't sit flat. It is hard to tell when the unit is level, because there isn't a flat panel on it anywhere. I can't figure out what costs so much on this unit. That said, it has operated without any problems so far.|Negative
Absolutely as advertised! Works great!|Positive
Did not work received defective , no quality control ?|Negative
Bought it for my Garage. Living in Arizona all my life, it does get warm. :) The reason for the Garage cooler is to help me stay cool cleaning up my car collection. The right size with Great cooling!!!|Positive
Worked great|Positive
Unit appears to work as described except the noise it makes while the oscillating feature is turned on. The unit makes a loud screeching noise that sounds like rubber rubbing on plastic as the fins move back and forth,|Negative
Space was under the 250 sq feet Just did not cool the air under 5 degrees from outside Used the ice packs and it didn't make any difference returned the product|Negative
This cooler works excellent for me. I agree 100% with Dave, who wrote a previous review. You really have to know your coolers and how they work and the enviroment you are using them in. Like Dave, I live in Lakewood, Colorado where we mostly have a dry climate. After, rainstorms the humidity can get occasionally high, and in this case the evaporative physics does not work well but, the humidity goes down fast afterwords. On hot days, however, these coolers work excellent. I've been using evaporative coolers for over 15 years. This cooler is quite an advancement over my previous ones. I live in a townhome with small (about 750 sq.ft.) and this cooler is perfect. I would recommend this to a friend who has a similar living enviroment.|Positive
It does its job.|Positive
Bought one of these for a Tucson area 2 car garage. After I ran it for 3 hours, the temperature in the garage did not change, but was overly humid. The output temperature was within 2 degrees of the garage air. The cooling pad is very small, I even tried cold water and added ice. Was shipped to home, returned it to Home Depot Store, no questions asked. Thank you Home Depot, I was dissatisfied with the product, not your great service.|Negative
"We live in Apple Valley in Southern California. I decided to purchase this cooler because of the positive reviews that were written. Our air conditioner had been running constantly with the temperatures being between 100-108 outside. Now, our house is kept a comfortable 75 degrees all day long, and we are running the unit on ""low"". We placed the unit just outside of our sliding glass patio door and opened the front door to allow equal ventilation. IT WORKS WONDERFULLY!!! We did have to adjust the float valve, you can do that by turning the thumbscrew on the side of the plastic water inlet that is installed on the unit. . Also, make sure that the water gauge float is not pushed up into the frame and moves freely up and down. It""s a GREAT INVESTMENT!!!, We are amazed at the cold air it produces!!!"|Positive
So far I am happy with the performance of the cooler. It works well in the garage.|Positive
GREAT BUY - EXCEEDED EXPECTATIONS! It's more powerful & efficient than expected! Sleeker & lighter than expected! And much, much quieter than expected! We live & work in AZ in a 2400sf home. So far this year we barely needed to use our air conditioner at all despite temperatures already into the 90's! We run the cooler on low all day until we close up the house to go to bed at night. Through an open door to our backyard patio with the front door and various windows slightly open, it circulates cool, moist air nicely and keeps the majority of the house around 15-20 degrees lower than it is outside! The unit cost is more than reasonable and if this level of efficiency continues throughout our 110+ degree summer, it will more than pay for itself in just 1 year. I would highly recommend this evaporative cooler to anyone!|Positive
The belt Seems to run smooth and not make any unexpected rattles or noises.|Positive
Compact, attractive and wonderfully quiet. We keep cool and can hold a conversation simultaneously! Love it!|Positive
The Champion Cooler works very well. We had one before but it was getting old and we needed another. This one not only works better it is quieter and the remote is very handy.|Positive
easy to use, however it didn't fit as snug as I was hoping. overall it's a good investment|Positive
ok would be better if made of alm|Negative
If this unit can work here in Las Vegas at 114 degrees F, it will work anywhere..! Easy to use, I usually fill it half water and half Ice cubes, it then makes a much cooler breeze..!|Positive
The water bucket is difficult to remove when there's still water in it. I don't like to wait for the water to be gone before refilling, so I just pull it out enough to pour water into it. So that means 4 or 5 trips from the kitchen sink and back with a 2 qt. pitcher--anything larger and it's too hard to pour into the 3 inch opening I've made by pulling the bucket out a bit. The reason it's difficult to remove is that there's no way to retract the pump and it limits movement of the bucket. I've used this now through 2 summers and am starting on my 3rd. The fan is starting to rattle and it took 3 tries to get the unit's pump going this year. I'm shopping for a different model now.|Negative
Cools my 24x24x10 garage with wide open door very well. I run a gym in my garage and it held internal temps at 80° during a 102° day. Some noticable humidity when you aren’t in the direct stream at those temps but in the direct stream it was “chilly” according to sweaty people of course.|Positive
Very easy to install. No leaks. Worked like a charm|Positive
This unit is garbage, it didn't provide no cool air whatsoever.|Negative
Adequate water flow for my Master Cool Evapoative cooler. have had no issues with it since installed.|Positive
Haven’t installed this yet. But, like so many other contributors, mine came with a cracked plastic frame. Because it is so big and heavy, I decided not to return it, but just superglue it and use it.|Negative
Fit perfect. Nice draw string at the bottom and velcro opening for electrical and refrigeration lines.|Positive
It's very sturdy material. Fit my unit great! I ordered the size to allow for 5 inch elect. box on side. I may put a tie around the entire thing just so wind doesn't get under it and blow it off. Just an extra precaution as it does have ties in one corner and Velcro in same corner is heavy duty. The underneath is vinyl so I'm leery of putting it on over the summer if I'm gone, with the 115 degree heat we can reach - afraid it might melt onto the unit. I will use cover in the winter for sure. Color is nice and appropriate for the color of our roof tiles. Won't know about how it wears until I actually use it but did put it on to see if it fit ok. Like the way it looks also.|Positive
The pump motor was fine except it did not come with a filter screen. You can't get a replacement screen in the home depot because they don't sell them. The wires have to be connected to the switch and at least they have the same color coding as the original.|Positive
great fit, easy to install.|Positive
Working well at this time|Positive
I am pleased with this purchase. Not having used for a full season I can only speak of performance when new. It seems well made and I expect it to last for many seasons.|Positive
We use this cooler inside our house...it works great if you leave a few windows cracked open in the house...easy to roll around...easy to operate. We set it up just outside the door of the room we want to cool down. That way the moisture from the back of the unit does not make the room to humid. We live in the dry southwest, so it works great for our needs...I don't think it would be good in a humid state. We would recommend it to someone who wants to cool down one room at a time...it will not do a whole house at one time. It is quiet on the low setting if you want to use it while having a conversation or at night when you sleep...the higher settings are a little harder to talk over, but not unbearable.|Positive
I recently purchased this along with my new swamp cooler (RWC50, SKU 424732). I was very disappointed with this leg kit, none of the screw holes lined up with anything on the actual cooler, I was forced to hammer the angle out of the leg kit to be able to mount it to the cooler. Then much to my disappointment the Leg kit covers over the water inlet/float assembly so that you are then forced to creatively enigineer a new way of attaching that assembly. If it wasn't for my own creative work + supplies + other tools (like a metal saw) this kit would have been completely useless. Save yourself the headaches I went thru. Don't get this.|Negative
It leaked a great deal and we had to return it.|Negative
The temperature drop is only 4-5 degrees. Greatly increases the humidity. In it's defense, this is a moist time of year and humidity is already pretty high. Waiting for the change in weather conditions and hoping it will operate better and drop temperatures more. Overall with the high blower speed it makes it more comfortable and I would recommend it.|Positive
great fit|Positive
I was only expect this fan to be able to lower the inside temperature of the house 10 degrees compare to outside temp. during those very hot day of 95 or more and it really works, fan is powerful and not that loud, blades oscillate side to side to move hot stale air out of every corner of my house with a combined area of about 1900 sf, on a 97 degrees day outside, it was able to bring inside temp. down to 82 degrees, has to say the moisture will make you feel wet and muggy but if you happen to stay in front of the blowing fan for 10 min. you may feel shriveling, without water in the reservoir it is so light to move around easily. Be aware that anything light lying around will be blown away.|Positive
I used it for my swimming pool and it is working great.|Positive
I purchase this product because it says that it'll cool a room. My room is small. I put water in it and even then the room felt hot. It blows air for sure, but not cool enough air to make a room cool. I certainly don't recommend this product. Unless you want hot air blowing at your face.|Negative
Pump is quiet and keeps the pads wet all day long with fan at full blast. Keeps our family cool.|Positive
I purchased this product and was easy to install, thought it was great until it wasn't. It only lasted for 13+months and only used about 30 percent of that time.|Negative
It failed after one week|Negative
I bought this for my 6000 sq ft Shop and while it doesn't cool the whole shop, it can cool an area pretty good. The fan really moves some air, so I usually run on low or med speed.|Positive
Great filter for my mastercool swamp cooler.|Positive
Cover was just fine, did the job.|Positive
Installed easily.|Positive
This device is not worth its value. I even tied putting in ice cold water and it would still not cool my 300sq ft room. I live in So. California, so this is probably something you don't want to go with if you live in a humid state. Thumbs down!|Negative
The unit is well built, the panels fit well but are not difficult to remove. I don't know what gauge metal it is made of but it is not flimsy. The unit came with everything necessary to replace an existing unit except the motor and legs (package includes pump. float, drain and pads). I had a motor but I bought the leg kit for $30.00 and they also seem to be well built and sturdy. It took about an hour and a half to get the unit on the roof and hooked up and to adjust the motor amperage . When I fired up the unit I was impressed how much more air it moved compared to the old tired unit it replaced....probably should have replaced the old one a few years ago. Will install an anode and an inline water filter in a few days to slow the salt deposits which is a cooler's biggest enemy.|Positive
Pump was easy to order and delivery was quick. Pump is working fine, hope it lasts a while.|Positive
Installation was fairly easy but had to make an additional trip to the store for water line and connectors that were not included in the installation package.|Positive
Helping cool down our warehouse|Positive
Easy to assemble works really good|Positive
Excellent product|Positive
"I purchased this cooler, even after reading reviews. I should have listened! The product worked GREAT... 4 times. After using it those 4 times, the pump quit working and consistently read ""low water"" even when the unit was just filled. Don't get me wrong, it cooled very nicely when it did work, but honestly? 4 times and I'm left with a $261 fan? No thanks."|Negative
This works fine to cool a single room (an office with a PC generating heat) but you need to know how evaporative cooling works:1. You need to live in a dry area2. The cooler needs to intake fresh dry air, either from a window or a door3. You can only lower the temp by 10-15F with this cooler|Positive
It's perfect for any room!|Positive
This evaporative cooler is amazing! We no longer are at each other's throats because we are so hot. Easy to use. And Hessair who makes this is very helpful should you need assistance.|Positive
This evaporative cooler exceeded my expectations. It works great. You can feel the difference immediately! The only reason I gave it four instead of five stars is the noise factor. I'm not sure it's any louder than a window a/c and it's certainly quieter than a smaller unit we purchased for upstairs... but it interferes with conversation and the television.|Positive
this cover is well made and can withstand the elements. It installs easily and with the strong lacing it snugs up tightly. The vent in the top really helps when the wind blows. The cover doesn't blow up like a balloon, allowing for less wear and tear.. It is a great buy and with an added strapping system will stay secure even in the worst of storms.|Positive
Works well to cool our sun room. We also use it to cool bedroom at night.|Positive
We'd read quite a few negative reviews about this cooler but decided to try it cuz we were desperate. So far it's working really well, actually puts out more cool air than any other cooler of its type we've owned and we've owned several different makes. We own two of these coolers now and the one we purchased from Home Depot is performing better. The other one constantly has to have the float adjusted which involves taking the back off, and the water level indicators on both coolers stick, very cheaply made, but the fact that they cool better than any cooler we've had before makes it worth the inconvenience. As stated before, the coolers are cheaply made and since this is our first year with them we have no idea how long they'll last but we can say we don't think they're built for longevity. We would recommend this cooler with disclaimers.|Positive
This item does exactly what it was made for...cooled down my mother's room by 10 degrees...it was much needed during these hot times in the desert. Highly recommend it if trying to cool down 1 room.|Positive
Fit perfect. Was and easy part off part on. Works great. Glad we tried the fix ourselves|Positive
I only ordered 1 product and it came missing pieces. It is a cooler vent with 8 louvers, (2 on each side) and 2 of them were missing. I had to drive it back to Home Depot to get my money back and then order it online again.|Negative
I live in a desert climate and loved this cooler. I keep it in my master bedroom and use the ice packs it comes with on especially hot days. It adds a nice amount of moisture to the air and works efficiently. We often bring it into our family room and use it during movie night to keep the whole family cool on hot summer evenings. The remote makes it especially handy in a bedroom for night time air.|Positive
Not bad - but not great ... it broke within 5 days.... sigh... and its going back today for a refund. Also I noticed that the water outlet valve is placed closer to the screw-in threads than the original plastic one that came off my mastercool ASA51 - I have a plastic liner so the placement of the water hole is important, this valve's water hole is running water onto the liner, and I just went through a big song and dance with water getting behind the liner I needed the water hole farther away from the liner. Also the break was on the float arm, it snapped at the connection pin. But I have a friend who has one as has no problems. I upgraded to the heavy duty $14 float valve.|Negative
Save yourself the money and buy quality first. Works perfect, no smell no problems. Be certain to remove and clean the water distribution shelf before reassembly. New clips to secure pads are included.|Positive
Received it damaged twice but customer service did refund my money|Negative
Awesome product, works great in the shop,|Positive
The cover fit perfectly; it is worth measuring carefully before ordering. The only negative is the yellow coating on the canvas. It rubs off and transfers to everything.|Positive
Very easy to install. Seems to work as well as original filters for a little less cost. Hot tip directly from Bonaire....If you have hard water, to keep mineral build up at bay, occasionally sprayvinegar directly into the filters thru the slots of the outside cover.|Positive
Needed about termite table saw and I was having a hard finding time finding one found this swamp cooler belt and it was just what I needed|Positive
We bought this to cool our 1800 sq. ft. home instead of our broken 1970's AC unit, and it has been a huge success. Construction is simple, robust, and durable. The only downside it took two people handy with tools 3 hours to securely install in a ground level window. The accordion shades for covering the sides of the window left exposed are not good for sealing of the window after the install is complete, but that was easily rectified by purchasing some blue insulation board, painting it, cutting it, and caulking it into the window side holes.|Positive
I hope it will do the job I got it for, it hasn't been in long enough to tell.|Positive
All this unit does is turn hot fry air into hot humid air. I don't know why they make these.|Negative
Both my boys are happy with the performance of these.|Positive
Having to fill bags of ice and water every night is not sustainable. I do not recommend this item.|Negative
I only started the unit to make sure it runs but I haven't run the entire system yet. water to see if it cools the air. Will try soon.|Negative
I purchased this brand new at HD and the pump worked, but as soon as I turned on the fan, the pump stopped, the fan slowly started and then the fan stopped. Then it started again and after a few seconds it stopped again. I checked the tension on the belt and it was fine. Also the voltage is fine. those are the troublshooting steps. Called the manufacturer and they said that they would send me a new controller unit but it would take 5-7 days. Meanwhile it's 100 deg F and that may not fix it. Home depot was no good. Can't send someone out. I can return it, but I had to rent a trailer to get it to my house in the first place and get 4 guys to put it in place.|Negative
Swamp cooler seems to be made ok, had problems with side panels going in, had to bend and flex cooler to get it square. The pulley that comes with unit isn’t worth installing just throw it in the weeds and get a good quality pulley, and the fan isn’t very straight, besides that it worked fine.|Negative
received in a time;y manner. fit was as described. was very easy to put on,and looks nice. thank you for a wonderful product. ken|Positive
Easy to install. Runs great , cools most of the house. Only thing, seen a bit of rust starting on the inside of pan after running for a month. I can fix it this winter. Got my sister two for her house and they work great.|Positive
Very simple wire up. Easy and simple to use. Easy read dial, setup in minutes.|Positive
Does the job on Low~! 1250 s.f. house|Positive
It's what I ordered. It fits perfectly and the measurements were correct. I won't be able to give it an accurate review for several years until I've seen how long it lasts.|Positive
"This cooler works great for what I had in mind - taking some of the heat out of a west-facing garage. Two things that are somewhat disappointing: The rate of water consumption is high. I manually fill it twice a day and am considering buying a 1/2"" hose to fit the fill spout. Also, there were no indications on the website ad that this cooler required a source of fresh air. First time I've purchased one and thought it could be operated in a closed environment. Nonetheless, this produces cool air, has several adjustable controls and does the trick."|Positive
Fit like a glove.|Positive
The cooling is non existent. It's noisy. If you use swing the base of the fan makes additional sounds. My front swing plastic broke after a few days. Stay away.|Negative
The evaporator was easy to unpack, assemble, fill, and use. The manual is easy to understand and has great tips for maintenance and storage.|Positive
Works great, great price , very pleased|Positive
Fits perfectly, sturdy material my evaporative cooler is completely covered.|Positive
Picture Perfect comes immediately to mind. Fits well. Easy application. Sturdy material. I am completely satisfied with this product.|Positive
We are very pleased with the cooler. We use it on the deck.|Positive
We purchased this on sale for $127.00 online. Awesome cooling for the price! A few pros and cons. Pros: It does cool the room as stated. It has a LARGE water capacity (like 4 gallons!). Itdoes have a hose attachment for a constant trickle flow, like a swamp cooler! Cons: smells with first use it, the manual says it may have a slight smell when for a short time when first used... But what they don't tell you is that it smells like old urine and makes you sick (like hurt your stomach, and feel like you've drank too much ill) and takes a good day for the smell to dissipate! Also it's a louder unit, the fan is louder with each level and when it's hot you have to run it at least on 2 in order to feel it.|Positive
Great product,god cooling system|Positive
It was an easy installation. very happy with the unit. wish it had a thermostat. Is there a thermostat available for this unit?|Positive
I called the company in Santa Ana and spoke to James regarding an operational problem and question. I received a friendly response and upon discussion was offered another model that, instead of repairing, would optimize my experience with their product. I was quite surprised..customer satisfaction is alive and well . I would most certainly recommend this product based on what I have experienced..many thanks, again..|Positive
best purchase we could have made for our mobile home. my wife keeps turning it off because she is cold and thats in the summer time and in redding ca it can get into the 1000's quite often. the motor went out within a week. i took it out, went to home depoy and they replaced it without ant questions. great swamp cooler. thanks home depot|Positive
Perfect fit as always. Can't get through the summer without them.|Positive
Not working well|Negative
well made, fits well, looks like it will be durable. About all I can say at this point since I just got it.|Positive
Sturdy, adjustable, easy to work with. My cooler feels solidly mounted to my roof.|Positive
This product is awesome. We used it indoors and out. It can bring good relief on hundred degree days outside on the patio barbecues. Guests have been very impressed and bought one themselves. Does have a slight smell at first but goes away fast. Couldn't be happier with this cooler|Positive
This product was ready to use and when into operation as soon as it was out of the box and the wheels where installed. One thing is worth mentioning here. The compartment housing the wheels on the bottom of the unit has a cover which must be removed. When putting the cover back on, make sure to use the same small/short screw else you will make a leak into the water tank like I did. Easy to fix with PVC glue but not necessary:).|Positive
Looks to be much better than plastic covers. As it's not winter I haven't used it yet. Just being prepared.|Positive
Item was high quality and exactly what I wanted. Sales Rep was very helpful and product was delivered very quickly.|Positive
There was a lot more do it yourself than I expected. No controller lots of wiring to do. Luckily I had an electrician at Home Depot Grand Junction help me with the electrical. I NOW have a chance to get it working .|Negative
i live in phoenix so climate is perfect for evap cooling. It is 83 degrees on patio and humidity is around 15 percent. After running for I hour to insure pad is plenty wet I checked temp with two thermometer...76 degrees is what it puts out!!!!!!! A measly 6 degree drop!! I have done several tests similar to this and never get more then 8 degree drop...that was when the humidity was below 10%. Duiring the night in my room it would not drop temp even 1 degree.I had fresh air source and open window to vent humid air out....I am very familiar with evap cooling have it on my home and shop so I know what it is capable of.This unity doesnt even come close to cooling properly. On the plus side home depot will take it back at store with no cost to me! Oh, it is a decent looking unit with quiet fan etc. I think the paper thin pad is the problem with this unit. The air doesnt have time to loose heat over a pad a little thicker the tissue...|Negative
Great cooler, Only complaint is there is a separate switch for the cooler fan and water pump. Makes it easy to turn off the cooler and accidentally leave on the water pump on. also to turn on the cooler and forget to turn on the water pump and charge the house with hot air.|Positive
Good squirrel type fan, strong air movement but very limited cooling.|Negative
We have a 1700 sq. ft. shop and this unit has been... amazing! It was easy to install and we very much like the slim profile for the back of the building. It has done a great job at cooling the shop and really does produce an amazing air flow. Highly recommend.|Positive
product arrived on time. unpacking was easy no problems. works very well. however i did not receive wheels , i rechecked the package and could not discover the wheels. i would recommend this product to friend.hopefully i will get my wheels|Positive
This is a versatile, efficient monster of a cooler which will pleasantly surprise you. Its compact, movable, and packs a really powerful blast of cool air for its size!!! I have mine placed in front of the Living room window, with the front door open; keep in mind its over 90 degrees outside here in Reno, NV and its 76 degrees inside! WOW! This is A GREAT BUY AND SUPER VALUE and worth every penny. Yes its true, Its smells at first, I emptied it after running it about 4 hours and put new water in it and its already getting better. Don't forget to open windows on the other side of the house as dry air makes the evaporator part work better. Thank you HD and Hessaire!|Positive
Made the room hotter|Negative
the outside dimensions are larger than I expected but when you don't read the specs you can be surprised..... It really does cool a rather large dining/kitchen area that we have. I am glad I bought it. Instead of ice, I use frozen small soft drink bottles and it works great.|Positive
It would of gotten a 5 star rating but there was damage to the unit from shipping. But it didn't effect its operations|Positive
Cooler worked great for 3 weeks and then the water pump went out. Returned to local HD and received a refund with no problems and plan to order a replacement.|Negative
Works GREAT|Positive
It is doing the job, so i guess it is a good product.|Positive
It shoots air out but not cold air. I don't like it.|Negative
just had to install the caster wheels and fill with water does its job well|Positive
The product works as advertised, but the first time I bought two years ago it was $55.00, a year later $76.00, now $94.00.|Negative
I bought this to cool down the room that we use for my daughter’s nursery. Its a very small room that is not air conditioned. I do think this works very well, the air is cold and the fan is pretty powerful for what a small product it is!|Positive
Has a metal 'blade' style fan that sounds like an airplane...even on low speed. Get the master cool portable instead. Has squirell cage blower and is virtually silent.|Negative
I bought this ac unit yesterday. I put it together and was excited to finally have a cool room, but no. This thing is a piece of garbage. It smells, it's loud, and the drain plug doesn't plug anything. It leaked water continuously. It also made the room extremely humid and sticky. I am returning this product immediately. Don't waste your money.|Negative
Townhome is staying cooler than last summer! Awesome!!!|Positive
I've tried 3 diff models and this one performed much better at a more convenient price !!! room is chilly!|Positive
It only ran for 2 to 3 hours than it stop working and will not turn on again. I have to return it to home depot.|Negative
Let me start off that this unit cools great so much so it's been turned off a couple times during day by wife. Now the bad points. The unit was missing everything that is needed to assemble in the box. I mean everything screws for assembly, remote etc. I had to dig though my screw drawers in order to assemble then had to make mounting brackets. I've contacted company about the missing hardware and was told it'd be sent out- all I got was another louvre which I had in box, which was busted up from UPS. Personally for the money and what I actually got this really isn't worth the price. Now if it was less and they made it known that you'd have to be you own hardware store to make it work then it be worth it. This unit does a great job cooling and would be 5 stars had I had the hardware in box or had received the missing parts/remote when I reached out to them. Biggest for me on anything is customer service from a company and it's lacking here.|Negative
"The pump that is provided is ""original equipment"" and is difficult to replace when the pump has ""seized"". In order to remove the electrical plug the pump has to be dismantled and then the wire can be pulled through the cooler hole. Also the bracket holding the pump is a good idea but HOW DO YOU REMOVE IT FROM THE PUMP? So far not necessary but will have to figure it out for the future. Was able to wash off the salt deposit from the base of the cooler with no difficulty."|Positive
This cooler worked way better than I expected! Durable, easy to move around. I highly recommend this to anyone!|Positive
Worked just as expected. Quick and easy to swap out.|Positive
This small unit has provided amazing refreshing atmosphere in 100+ temps outside on our shade covered Patio, even at low speed settings 2 of 3 settings throws lots of air 20ft and more, the oscillating feature is very nice! Uses water quickly in dry Cali climate, yet an awesome buy!!|Positive
Cools the room just as advertised. Easy to handle and fill. Only thing I would change would be to make the level indicator easier to read.|Positive
"The cover itself is extremely well-made; very heavy duty. The only problem is that it doesn't ""breathe"". I bought it because this particular size is perfect to cover my extra 20lb LP tank which I store outside. I checked the tank the morning after a rainfall and discovered sweat all over the tank. Prior to this, the tank was covered with a cheap blue tarp purchased from a popular discount tool store. The tank stayed absolutely dry; no sweat. Like I said, this may not be the cover's fault. It just did not work for my particular application."|Positive
I love it!!! with temps at 112 in the desert south west I was inside nice and cool! With 3 speeds, plenty of power, and an oscillating fan I couldn't ask for more. Don't hesitate, buy it :-)|Positive
Doesn't cool at all when too hot outside.....just an expensive fan....the water tank for it started leaking after a month...don't waste your money...I had faith in this product and was greatly disappointed|Negative
My apartment does not have air conditioning in the bedroom and it is unbearable in summer. This evaporative cooler is perfect for this situation. Even my cat loves it.|Positive
We have hot water heat and consequently no air ducts for air conditioning. We priced having a contractor add whole house air conditioning and duct work to our house. The price was very high. So instead we have had several UltraCool coolers over the span of perhaps 10 years. All but one are still working great! We live in a fairly hot but very dry climate and being retired need to conserve both electricity and money. One of the reasons we like this model is the large water tank which we can fill once a day or every other day and live and sleep in comfort. The motor makes no more noise than a window air conditioner and we didn't need to harm our wood windows and molding to install it. We recently gave our daughter one of ours and will be going out tonight to purchase a new one to replace it.|Positive
I got this to cool my chicken coop when were expecting a crazy heat wave of 120+ degree temps for days. I've had it running 8-10 hours a day for about a month now, and it's still working well. It cools the chicken coop 20-30 degrees. It's actually pretty comfortable in there. Bonus: It has an auto fill float and hose attachment, so it doesn't run out of water. I don't think the product description shows or mentions that. Downsides: The fan is not quiet when it's on high, but it's fine outside. I've had to remove the filter once a week to clean hard water deposits off and clean out the reservoir.|Positive
It's a belt. Does what it's supposed to do. Looks to be good quality|Positive
This Swamp Cooler has made a huge difference in our Restaurant!|Positive
This cover fit well and seems to do the job. My only objection is that it arrived with a yellow powder covering which had a tendency to smear on anything it touches, but maybe the powder helps preserve the canvas.|Positive
This is a great cooler cover, and is oversized to fix. My cooler is exactly 42 x 45 and this fits easily.|Positive
Since I do not have central air, I've been mulling cooling options for a while. This unit cools all the communal rooms of my house without the high energy costs of an air conditioner. It is powerful and relatively quiet.|Positive
Works great Also better than my last set. Will always buy from you|Positive
Easy to put on. The tie down strings hall to lee the cover on. The string seemed light and could stand to be heavier. Will see how the product stands up to a few seasons of use.|Positive
I love the profile of this unit. It would stick out a little too far on the interior if installed exactly the way instructed so we supported it more on outside to give a lower profile inside. It came a little damage but replacement parts came right away. It works great and I love the three speeds.|Positive
Easy to use and install. Moves a large amount of water.|Positive
I just received mine and have it on my patio, and it dropped the temperature 15 degrees in just a few minutes!! I live in Yuma, Az and would highly recommend this cooler for anyone who likes spending time on the patio!!! Works perfect on our drier days!! Great product!!!!|Positive
I thought I needed a new motor in my swamp cooler. The wall next to the switch was getting hot I said that's not good. So I got a new switch and now the motor ramps right up. So much better and safer. I should have done that a long time ago.|Positive
No good for the investment of cooling a room|Negative
The cover fit perfectly and was heavy duty. The smell was not great but it will air out over time...|Positive
The company is using cheap or faulty bearings. It goes thunk, thunk, thunk, thunk... on low speed. Really annoying sound and it sounds like it will fall apart before 1 season is out.|Negative
It's doing the job.|Positive
Bought this as others have, to replace the old pump that had run its life course. This pump deffo brought my cooler back to life and once again cooling the house like it was new.|Positive
This is one of the best purchases I have ever made for my home. Living in the desert, the added moisture in the air makes the room much more comfortable. And I don't have to use it but a few hours a day. It can easily drop the temperature in just a few minutes, so I don't even turn it on till mid afternoon. The only complaint, is the auto fill valve for the water level. What they send is complete junk, made from plastic. I could not get it to work, so I went BACK to Home Depot and bought a brass one for about $8 that works perfectly. It really only saved them a couple of dollars by sending this junk valve. I would have rated this item five stars if not for all the trouble we had trying to get that to work.|Positive
They are only good for one year.|Negative
had unit installed and really like all of the features,ie remote control,3 speed fan,auto purge pump,filter media,uv resistant construction,and it looks better than the square swamp coolers,fan on low is relatively quite(about the same as when our air was on) and gives great air flow,ready to see how much less our elec will be this summer,|Positive
completely met all my needs at this time.....|Positive
This evaporative cooler is just what we needed to keep our one level home comfortable on a hot day! It is easy to use and was easy to install. The savings in electricity are great!! We are very pleased with our purchase!|Positive
draw string possibility of it coming off with wind|Negative
This product is great for cooling single rooms. It also adds humidity which is great because it helps relieve my allergies.|Positive
I have replaced it 3 times due to it breaking in less then 24 hours only low speed works very disapointing. On mild days it cools good but hotter days can't keep up with no high speed ever working otherwise would be|Negative
Failed after 24 hours. That means it overflowed the leveler|Negative
works great fits perfictly|Positive
Unit works well, I had to literally build my own duct work and skirting as non was offered by the store, Don't let the size and weight discourage you from installing yourself, if you're ambitious enough, you can completely disassemble it, take it up in pieces and reassemble in place on the roof. Cools well enough in a dry climate. Uses less than half as much power as my refrigerated air unit does. Thermostat works pretty well. Motor pulley is variable pitch type that allows adjusting the low and high speeds - good feature as with the original setting the blower was fairly loud. You can adjust for a good compromise between air flow and noise. If you can, I would recommend installing a side draft unit on a shady side of your house and venting it through your regular duct work. I did cut a hole in my ducting and vent some air from the cooler into the attic to cool/vent that space also.|Positive
prefect fit, now need pulley for blower 1 inch diameter center hole.|Positive
Tenant reports that it cools her apt fine.|Negative
