source_region,destination_region,passengers,bookings,rpk,month
Southwest Pacific,Asia : South East Asia,434028,146443,2491494732.0,2014-11-01
Latin America : Upper South America,Latin America : Upper South America,3213429,1514990,1908870943.0,2014-08-01
North America,Latin America : Central America,1276196,659961,3569324171.0,2014-05-01
Latin America : Upper South America,Africa : North Africa,1995,337,22674333.0,2014-12-01
Southwest Pacific,Europe : Eastern/Central Europe,13910,7830,219327999.0,2014-03-01
Asia : North East Asia,Asia : Central Asia,103165,18229,295301263.0,2014-07-01
Asia : South East Asia,Latin America : Central America,3892,2048,65490939.0,2014-05-01
Africa : Central/Western Africa,Latin America : Caribbean,1696,685,21099682.0,2014-05-01
Latin America : Lower South America,Africa : Eastern Africa,2457,613,32298071.0,2014-11-01
Latin America : Lower South America,Africa : Eastern Africa,1656,748,18757984.0,2014-08-01
Latin America : Lower South America,Latin America : Central America,79430,63188,556195542.0,2014-03-01
Africa : Southern Africa,Latin America : Upper South America,1595,639,25214408.0,2014-04-01
Africa : Eastern Africa,Southwest Pacific,5092,3003,62937141.0,2014-03-01
Asia : Central Asia,North America,7573,4391,86781065.0,2014-07-01
Latin America : Lower South America,Asia : South East Asia,8133,4835,148513273.0,2014-05-01
North America,Africa : Eastern Africa,35171,22796,487204465.0,2014-01-01
Africa : Southern Africa,Asia : South Asia,21165,14578,170670763.0,2014-05-01
Southwest Pacific,North America,209108,123874,2635253653.0,2014-12-01
Asia : South East Asia,Europe : Western Europe,568922,402541,5932673701.0,2014-04-01
Latin America : Caribbean,Latin America : Lower South America,49135,39808,318555058.0,2014-02-01
Europe : Eastern/Central Europe,Africa : Southern Africa,8059,4066,79262004.0,2014-12-01
North America,Latin America : Upper South America,319932,207819,1378954746.0,2014-08-01
Latin America : Caribbean,Southwest Pacific,420,238,7926113.0,2014-09-01
North America,Africa : Eastern Africa,40214,29863,560141547.0,2014-05-01
Southwest Pacific,Africa : Southern Africa,14013,9177,164352411.0,2014-06-01
North America,Southwest Pacific,187539,109877,2314973053.0,2014-05-01
Asia : South East Asia,Africa : Southern Africa,10496,8065,117762828.0,2014-02-01
Asia : South East Asia,Africa : Central/Western Africa,9273,5559,110644055.0,2014-02-01
Asia : South Asia,Asia : South Asia,5356206,1225712,5016438769.0,2014-09-01
Middle East,Latin America : Lower South America,15234,12864,193250254.0,2014-11-01
Africa : Southern Africa,Africa : North Africa,8688,3491,70672258.0,2014-05-01
Middle East,Africa : Eastern Africa,101167,26418,322816017.0,2014-12-01
Africa : Southern Africa,Africa : Eastern Africa,60010,33398,185238633.0,2014-07-01
Latin America : Upper South America,Africa : Central/Western Africa,1230,414,16169435.0,2014-05-01
Latin America : Lower South America,Africa : Southern Africa,13142,7543,101938012.0,2014-05-01
Latin America : Lower South America,Africa : Central/Western Africa,5106,1881,55125989.0,2014-11-01
Africa : Eastern Africa,Europe : Western Europe,189761,117284,1494834226.0,2014-03-01
Asia : South East Asia,Asia : South East Asia,15744345,768707,13803933038.0,2014-06-01
Asia : South Asia,Latin America : Central America,2565,1739,41243560.0,2014-11-01
Latin America : Central America,Asia : South Asia,2187,1384,34724740.0,2014-04-01
Europe : Eastern/Central Europe,Southwest Pacific,9949,6364,157525612.0,2014-05-01
Europe : Eastern/Central Europe,Africa : Eastern Africa,7783,4302,57219178.0,2014-11-01
Africa : Southern Africa,North America,50672,32733,772833181.0,2014-07-01
Africa : Eastern Africa,Latin America : Upper South America,231,194,3614629.0,2014-03-01
Africa : Southern Africa,Asia : South East Asia,15179,9492,168097534.0,2014-09-01
Middle East,Europe : Western Europe,1010334,592150,3895307303.0,2014-03-01
North America,Latin America : Lower South America,332175,230003,2727647426.0,2014-02-01
Asia : South Asia,Middle East,1102820,709378,3254954852.0,2014-02-01
Africa : Central/Western Africa,Africa : Central/Western Africa,843452,219536,582748350.0,2014-08-01
Africa : North Africa,Middle East,740624,202973,1593491688.0,2014-07-01
Latin America : Upper South America,Africa : Southern Africa,830,496,11829788.0,2014-05-01
Asia : Central Asia,Latin America : Central America,195,30,2627777.0,2014-02-01
Southwest Pacific,Latin America : Caribbean,487,304,8621147.0,2014-07-01
Latin America : Central America,Africa : Central/Western Africa,954,292,12339232.0,2014-07-01
Europe : Western Europe,Africa : North Africa,1050872,487776,2060047286.0,2014-04-01
Asia : Central Asia,North America,7317,4266,84433950.0,2014-10-01
Asia : South East Asia,Asia : Central Asia,10382,3402,57174872.0,2014-04-01
North America,Asia : South Asia,267075,198113,3705045675.0,2014-07-01
Latin America : Lower South America,Middle East,18348,12021,230334921.0,2014-05-01
Latin America : Upper South America,North America,253404,162140,1046377148.0,2014-02-01
Asia : Central Asia,Africa : North Africa,693,270,3658470.0,2014-08-01
Latin America : Lower South America,Europe : Western Europe,346756,261452,3489254806.0,2014-08-01
Southwest Pacific,Latin America : Lower South America,8282,5741,108260262.0,2014-09-01
Asia : North East Asia,Africa : Eastern Africa,33156,12083,307103840.0,2014-10-01
Africa : Eastern Africa,Latin America : Central America,2155,172,33800220.0,2014-01-01
Africa : Central/Western Africa,Europe : Eastern/Central Europe,11223,3702,72519681.0,2014-12-01
Latin America : Caribbean,Africa : Eastern Africa,2404,201,39378086.0,2014-03-01
Asia : South Asia,Europe : Eastern/Central Europe,34238,17145,209577324.0,2014-06-01
Asia : North East Asia,Latin America : Lower South America,34186,15021,622020131.0,2014-06-01
Africa : Central/Western Africa,Latin America : Caribbean,1599,462,19368528.0,2014-08-01
Latin America : Central America,Europe : Western Europe,165085,93649,1539924716.0,2014-01-01
Latin America : Central America,Latin America : Caribbean,57016,23885,130188575.0,2014-08-01
Africa : Southern Africa,Africa : North Africa,9109,3407,75944003.0,2014-11-01
Asia : South Asia,Asia : South East Asia,436686,197245,1423883527.0,2014-05-01
Africa : Eastern Africa,Europe : Eastern/Central Europe,10446,5729,79397999.0,2014-03-01
Europe : Western Europe,Africa : Central/Western Africa,304761,204665,1550404688.0,2014-07-01
Asia : South East Asia,Middle East,375014,180738,2668708321.0,2014-03-01
North America,Latin America : Upper South America,277725,172871,1187424595.0,2014-09-01
Africa : Central/Western Africa,Asia : South East Asia,8692,6235,100679387.0,2014-02-01
Latin America : Lower South America,Asia : South East Asia,8839,5009,162840741.0,2014-10-01
Latin America : Central America,Asia : North East Asia,20908,9970,271441741.0,2014-12-01
Africa : Eastern Africa,Latin America : Upper South America,359,184,6006083.0,2014-07-01
Latin America : Caribbean,Europe : Western Europe,360973,191237,2736702898.0,2014-01-01
Africa : Southern Africa,Latin America : Caribbean,3250,774,47435623.0,2014-02-01
Asia : South Asia,North America,219069,143474,3072257565.0,2014-10-01
Latin America : Lower South America,Africa : Southern Africa,13154,7441,100846446.0,2014-09-01
Latin America : Upper South America,Africa : Eastern Africa,280,146,4425096.0,2014-07-01
Middle East,Latin America : Lower South America,14607,12511,180902460.0,2014-02-01
Europe : Eastern/Central Europe,Europe : Western Europe,2301521,805282,3576949147.0,2014-02-01
Asia : Central Asia,Africa : Central/Western Africa,282,46,2511859.0,2014-02-01
Europe : Eastern/Central Europe,Asia : North East Asia,620937,210252,2595626755.0,2014-04-01
Europe : Western Europe,Asia : North East Asia,862474,332353,7950110992.0,2014-04-01
Africa : Southern Africa,Latin America : Central America,483,424,8311769.0,2014-11-01
Africa : Central/Western Africa,Latin America : Central America,857,374,11095115.0,2014-08-01
Latin America : Caribbean,Africa : Southern Africa,1397,788,18570292.0,2014-09-01
Southwest Pacific,Asia : North East Asia,365863,104728,2423159252.0,2014-06-01
Europe : Western Europe,Latin America : Upper South America,142077,103355,1286792324.0,2014-05-01
Asia : South Asia,Middle East,1275786,545280,3806328943.0,2014-07-01
Latin America : Upper South America,Africa : Southern Africa,1104,468,16048659.0,2014-09-01
Latin America : Central America,Africa : Southern Africa,732,479,12101376.0,2014-03-01
North America,Europe : Western Europe,1279315,655652,9438043812.0,2014-02-01
Africa : North Africa,Africa : Southern Africa,5963,3121,44726109.0,2014-03-01
Asia : North East Asia,Middle East,166615,57172,1128162185.0,2014-03-01
Latin America : Caribbean,Middle East,6055,1070,70715481.0,2014-01-01
Asia : South Asia,Africa : North Africa,16731,9153,99977468.0,2014-05-01
Africa : Central/Western Africa,Latin America : Central America,889,309,11968012.0,2014-12-01
Latin America : Central America,Africa : Central/Western Africa,797,321,10472800.0,2014-02-01
Asia : South Asia,Asia : South Asia,5337049,1206565,5048585441.0,2014-04-01
Asia : North East Asia,Latin America : Lower South America,37103,20480,680431458.0,2014-10-01
North America,Middle East,193468,116091,2185386250.0,2014-02-01
Latin America : Upper South America,Southwest Pacific,1588,1570,27532289.0,2014-07-01
Africa : Southern Africa,Africa : Southern Africa,1333734,587743,1243754624.0,2014-03-01
Africa : Central/Western Africa,Asia : Central Asia,865,46,7009664.0,2014-06-01
Europe : Eastern/Central Europe,Southwest Pacific,11689,9781,179697950.0,2014-01-01
Africa : Central/Western Africa,Latin America : Upper South America,605,533,7913045.0,2014-11-01
Africa : Eastern Africa,Southwest Pacific,4976,3270,60323986.0,2014-11-01
Africa : North Africa,Latin America : Upper South America,436,332,5141263.0,2014-06-01
Africa : Southern Africa,Asia : Central Asia,1048,184,11331488.0,2014-05-01
Latin America : Caribbean,Asia : South East Asia,5065,2141,88984218.0,2014-03-01
Asia : North East Asia,Africa : Southern Africa,37611,10818,458146161.0,2014-05-01
Africa : Central/Western Africa,Europe : Eastern/Central Europe,12305,4668,77935101.0,2014-03-01
Asia : Central Asia,Latin America : Caribbean,144,33,1844365.0,2014-02-01
Latin America : Central America,Europe : Eastern/Central Europe,9089,3846,97661446.0,2014-06-01
Africa : Southern Africa,Middle East,34467,17524,233718327.0,2014-03-01
Europe : Western Europe,Latin America : Central America,185264,113879,1727266064.0,2014-07-01
Latin America : Central America,Latin America : Caribbean,54808,20759,122789097.0,2014-09-01
Africa : North Africa,Latin America : Caribbean,637,197,6424901.0,2014-05-01
North America,Asia : South Asia,333127,268986,4667767425.0,2014-12-01
Europe : Eastern/Central Europe,Africa : Central/Western Africa,10316,4678,64956077.0,2014-03-01
Southwest Pacific,Middle East,47549,25791,596991935.0,2014-09-01
Africa : North Africa,Southwest Pacific,2662,1734,38651402.0,2014-02-01
Europe : Western Europe,Asia : South East Asia,535675,267060,5621869586.0,2014-05-01
Latin America : Upper South America,Africa : Southern Africa,1191,715,16763531.0,2014-01-01
Africa : Central/Western Africa,Latin America : Upper South America,1112,655,14321563.0,2014-04-01
North America,Latin America : Upper South America,311903,181876,1307536271.0,2014-03-01
Asia : North East Asia,Europe : Western Europe,888244,356921,8199676158.0,2014-04-01
Asia : North East Asia,Asia : South East Asia,2606324,541990,8470274590.0,2014-10-01
Africa : Central/Western Africa,North America,61866,43112,665938500.0,2014-06-01
Latin America : Lower South America,Africa : Southern Africa,16185,12134,131209430.0,2014-01-01
Europe : Western Europe,Middle East,1102553,603025,4074958369.0,2014-06-01
Latin America : Upper South America,Europe : Eastern/Central Europe,4189,2285,44518994.0,2014-02-01
Asia : South East Asia,Southwest Pacific,463487,141045,2665862709.0,2014-05-01
Latin America : Lower South America,Africa : Central/Western Africa,6236,2610,63247453.0,2014-03-01
Europe : Western Europe,Africa : North Africa,933878,366644,1808483680.0,2014-01-01
Europe : Western Europe,Asia : South Asia,416302,250795,3017689327.0,2014-05-01
Middle East,Asia : Central Asia,31690,6480,90842109.0,2014-01-01
Southwest Pacific,Latin America : Caribbean,989,407,19811544.0,2014-01-01
Southwest Pacific,Africa : Eastern Africa,4900,2358,59977121.0,2014-02-01
Southwest Pacific,Asia : Central Asia,1822,205,22490246.0,2014-11-01
Asia : Central Asia,Latin America : Lower South America,117,48,1706043.0,2014-02-01
Africa : Central/Western Africa,Africa : Southern Africa,43058,25535,196584401.0,2014-05-01
Africa : Southern Africa,Latin America : Lower South America,12695,7002,97764354.0,2014-11-01
Africa : Central/Western Africa,Africa : Central/Western Africa,738226,216038,499151821.0,2014-11-01
North America,Africa : Southern Africa,40354,28763,625001982.0,2014-06-01
Middle East,Europe : Western Europe,994282,525065,3882518223.0,2014-11-01
Asia : South East Asia,Latin America : Lower South America,7976,5096,152918785.0,2014-10-01
Africa : Eastern Africa,Asia : North East Asia,33894,11088,312318932.0,2014-07-01
Asia : North East Asia,Asia : South East Asia,2836819,528806,9206494137.0,2014-12-01
Asia : North East Asia,Asia : South Asia,191770,42056,1002486093.0,2014-02-01
Africa : Eastern Africa,Latin America : Central America,678,226,10705823.0,2014-04-01
Asia : South East Asia,Africa : Southern Africa,13391,8737,150372531.0,2014-06-01
Asia : South East Asia,Africa : Eastern Africa,9396,5389,73897278.0,2014-05-01
Europe : Western Europe,Europe : Western Europe,42719399,11014339,49738974037.0,2014-06-01
Asia : Central Asia,Asia : South East Asia,13752,5531,76380253.0,2014-12-01
Asia : Central Asia,Latin America : Central America,63,18,876640.0,2014-06-01
Asia : Central Asia,Asia : South Asia,8741,1674,19152254.0,2014-04-01
Africa : Central/Western Africa,Southwest Pacific,1918,1241,31574406.0,2014-02-01
Africa : Central/Western Africa,Africa : North Africa,38046,20757,158385482.0,2014-03-01
Asia : North East Asia,Europe : Western Europe,1021757,432690,9462200604.0,2014-10-01
Europe : Western Europe,Latin America : Caribbean,284230,170101,2130064955.0,2014-02-01
Africa : Central/Western Africa,Latin America : Upper South America,785,432,10227601.0,2014-03-01
Latin America : Caribbean,Latin America : Lower South America,51928,32512,328290558.0,2014-11-01
Asia : South East Asia,Africa : North Africa,22415,9953,212649722.0,2014-06-01
Latin America : Central America,Africa : Eastern Africa,452,144,7317487.0,2014-02-01
Africa : Southern Africa,North America,39297,24783,589743438.0,2014-04-01
Latin America : Caribbean,Middle East,5057,943,60937154.0,2014-12-01
Africa : North Africa,Middle East,563391,243888,1195669480.0,2014-04-01
Asia : South Asia,Africa : Southern Africa,18376,12743,149880989.0,2014-09-01
Southwest Pacific,Latin America : Caribbean,587,283,11963801.0,2014-10-01
Latin America : Central America,Middle East,5492,3427,70834303.0,2014-12-01
Asia : South Asia,Africa : Central/Western Africa,14814,8557,123962340.0,2014-09-01
Latin America : Upper South America,Africa : North Africa,1637,278,18342053.0,2014-08-01
Europe : Eastern/Central Europe,Asia : Central Asia,259207,78753,787355703.0,2014-11-01
Latin America : Upper South America,Africa : Central/Western Africa,953,324,12654901.0,2014-07-01
Latin America : Central America,Africa : Central/Western Africa,736,324,9549379.0,2014-04-01
Asia : South Asia,Africa : Southern Africa,20386,14063,166114954.0,2014-10-01
Africa : North Africa,Europe : Eastern/Central Europe,68141,15051,212076372.0,2014-05-01
Middle East,Southwest Pacific,41065,27878,523766330.0,2014-07-01
Africa : Eastern Africa,North America,35242,16566,491247822.0,2014-12-01
Latin America : Upper South America,Europe : Western Europe,128805,101330,1175371117.0,2014-02-01
Asia : South Asia,Asia : South East Asia,402192,174958,1302712486.0,2014-08-01
Europe : Western Europe,Latin America : Caribbean,250447,120327,1875800926.0,2014-06-01
Africa : Eastern Africa,Africa : Eastern Africa,545679,200158,325564033.0,2014-07-01
Africa : North Africa,Asia : Central Asia,611,156,2954081.0,2014-03-01
Africa : Eastern Africa,Africa : Eastern Africa,598389,110260,347480752.0,2014-12-01
Africa : Southern Africa,Middle East,42494,25993,290311400.0,2014-12-01
North America,Asia : Central Asia,12778,3095,149712196.0,2014-11-01
Latin America : Caribbean,North America,1381541,585852,3829071848.0,2014-04-01
Africa : Central/Western Africa,Asia : South East Asia,10627,6256,130501654.0,2014-10-01
Southwest Pacific,Latin America : Central America,2433,1378,36188372.0,2014-04-01
Middle East,Latin America : Lower South America,14243,11445,179767495.0,2014-04-01
Middle East,Africa : Central/Western Africa,49871,32298,290330467.0,2014-03-01
Latin America : Caribbean,Asia : North East Asia,5957,1627,89365470.0,2014-01-01
Asia : North East Asia,Asia : South East Asia,2509687,410406,8055932643.0,2014-04-01
Asia : North East Asia,Asia : Central Asia,109031,23506,312500755.0,2014-10-01
Africa : Southern Africa,Europe : Western Europe,183459,126186,1707365165.0,2014-10-01
Middle East,Europe : Eastern/Central Europe,253006,102408,729200009.0,2014-10-01
Africa : Southern Africa,Africa : Southern Africa,1260478,577413,1191184350.0,2014-09-01
Middle East,Latin America : Central America,6239,3223,80511071.0,2014-01-01
Asia : South Asia,Latin America : Lower South America,3276,2669,48698195.0,2014-08-01
Europe : Eastern/Central Europe,Latin America : Upper South America,3227,2185,35464882.0,2014-04-01
Latin America : Upper South America,Europe : Eastern/Central Europe,4924,2523,52133510.0,2014-08-01
Latin America : Lower South America,Europe : Western Europe,318425,221816,3242648154.0,2014-03-01
Latin America : Caribbean,Asia : Central Asia,145,29,1888883.0,2014-03-01
Latin America : Upper South America,Latin America : Caribbean,91435,44917,144464962.0,2014-04-01
Asia : South Asia,Africa : North Africa,16787,6089,96808986.0,2014-09-01
Asia : Central Asia,Asia : South East Asia,13952,4421,74363958.0,2014-03-01
Latin America : Central America,Africa : Southern Africa,749,430,12512198.0,2014-01-01
North America,Asia : South Asia,272183,221050,3790685521.0,2014-06-01
Asia : North East Asia,Africa : Central/Western Africa,36749,13589,455551063.0,2014-07-01
Latin America : Central America,Latin America : Caribbean,52465,25319,122202088.0,2014-04-01
Europe : Western Europe,Asia : South Asia,433987,291105,3169725202.0,2014-09-01
Europe : Western Europe,Asia : Central Asia,118194,63074,521870029.0,2014-08-01
North America,Europe : Western Europe,1632918,874347,12107239550.0,2014-11-01
Asia : Central Asia,Southwest Pacific,574,157,6174219.0,2014-02-01
Latin America : Upper South America,Latin America : Lower South America,172564,114534,676908749.0,2014-03-01
Asia : South Asia,Latin America : Caribbean,6285,1270,91172154.0,2014-01-01
Asia : Central Asia,Asia : North East Asia,96521,18618,267619102.0,2014-03-01
Africa : Eastern Africa,Africa : Southern Africa,56156,29549,169975901.0,2014-06-01
Middle East,Africa : North Africa,650352,257758,1358431314.0,2014-09-01
Africa : Central/Western Africa,Latin America : Central America,1045,390,13841819.0,2014-06-01
Latin America : Central America,Latin America : Central America,2720102,568988,2816846175.0,2014-11-01
Latin America : Upper South America,Latin America : Central America,146782,93016,361356004.0,2014-10-01
Latin America : Upper South America,Africa : Southern Africa,1291,687,18341766.0,2014-12-01
Europe : Western Europe,Africa : North Africa,795683,357593,1560153288.0,2014-02-01
Middle East,Southwest Pacific,40420,26248,510721508.0,2014-09-01
Europe : Western Europe,North America,2433720,1549550,17911016300.0,2014-08-01
Latin America : Lower South America,Europe : Eastern/Central Europe,13009,7058,150242957.0,2014-02-01
Africa : Eastern Africa,Africa : Central/Western Africa,30703,17615,106311057.0,2014-05-01
Asia : South East Asia,Asia : South East Asia,15928761,777828,13911807646.0,2014-07-01
Africa : Central/Western Africa,Europe : Western Europe,301436,233720,1554200414.0,2014-08-01
Southwest Pacific,Asia : North East Asia,399156,91824,2637016487.0,2014-07-01
Latin America : Upper South America,Asia : Central Asia,342,21,5021813.0,2014-03-01
Europe : Eastern/Central Europe,Middle East,259504,103345,732676855.0,2014-05-01
Africa : Central/Western Africa,Africa : Eastern Africa,30968,13545,112909155.0,2014-10-01
Asia : South Asia,Africa : Southern Africa,20638,14890,167693978.0,2014-06-01
Latin America : Central America,Middle East,6302,4309,80854228.0,2014-06-01
Asia : South East Asia,Africa : North Africa,20922,10039,198561611.0,2014-01-01
Latin America : Caribbean,Europe : Eastern/Central Europe,16839,5324,157830865.0,2014-08-01
Asia : South East Asia,Asia : South East Asia,17411157,597312,15098566894.0,2014-12-01
Latin America : Lower South America,Latin America : Central America,70521,62266,492371074.0,2014-02-01
Southwest Pacific,Asia : South East Asia,454415,136892,2545365066.0,2014-07-01
Asia : Central Asia,Africa : Eastern Africa,191,47,1234818.0,2014-06-01
Africa : Central/Western Africa,Asia : North East Asia,32984,13528,393120881.0,2014-01-01
Europe : Western Europe,Asia : South Asia,463119,327224,3390248831.0,2014-01-01
Southwest Pacific,Asia : North East Asia,438779,108139,2893680413.0,2014-08-01
Africa : Eastern Africa,Asia : South Asia,31325,22984,174627821.0,2014-06-01
Africa : Central/Western Africa,Africa : Central/Western Africa,622726,202404,443822919.0,2014-02-01
Latin America : Lower South America,Latin America : Caribbean,61745,35724,407912046.0,2014-12-01
Asia : Central Asia,Asia : South Asia,10642,1593,24029026.0,2014-12-01
Latin America : Upper South America,Latin America : Lower South America,169613,113454,660936983.0,2014-11-01
Asia : Central Asia,Latin America : Central America,57,18,800230.0,2014-07-01
Latin America : Caribbean,North America,1396542,554580,3909657427.0,2014-01-01
Latin America : Caribbean,Asia : South East Asia,4197,1847,74263294.0,2014-02-01
Europe : Eastern/Central Europe,Asia : North East Asia,492708,169902,1927239446.0,2014-02-01
Asia : South East Asia,Europe : Eastern/Central Europe,120191,68150,1006797913.0,2014-01-01
Asia : Central Asia,Europe : Eastern/Central Europe,246264,73464,727683276.0,2014-05-01
North America,Asia : South Asia,207747,168062,2869095466.0,2014-02-01
Asia : South Asia,Latin America : Caribbean,4258,741,63918229.0,2014-07-01
Africa : Eastern Africa,Asia : North East Asia,30006,11397,271799667.0,2014-01-01
Asia : Central Asia,Asia : South Asia,9853,2052,21239265.0,2014-03-01
Middle East,Latin America : Lower South America,15981,12771,202033365.0,2014-03-01
Latin America : Lower South America,Asia : North East Asia,27422,14271,503865762.0,2014-02-01
Southwest Pacific,Africa : Central/Western Africa,2466,796,38898214.0,2014-09-01
Africa : Southern Africa,Latin America : Upper South America,1089,419,16295047.0,2014-02-01
Asia : Central Asia,Europe : Western Europe,71083,26413,307117955.0,2014-02-01
Africa : Central/Western Africa,Latin America : Caribbean,1541,441,19296712.0,2014-02-01
Asia : South Asia,Africa : Southern Africa,22508,14078,185752117.0,2014-11-01
Latin America : Central America,Asia : North East Asia,16910,7833,217783141.0,2014-05-01
Africa : Southern Africa,Africa : Southern Africa,1263188,539957,1183162422.0,2014-06-01
Africa : Central/Western Africa,Asia : Central Asia,660,23,5472858.0,2014-03-01
Europe : Eastern/Central Europe,Latin America : Central America,8057,4723,86302033.0,2014-10-01
Africa : Eastern Africa,Latin America : Caribbean,1481,170,22704809.0,2014-07-01
Asia : Central Asia,Asia : Central Asia,414529,185123,389804410.0,2014-06-01
Europe : Western Europe,Europe : Eastern/Central Europe,2286513,804679,3546415851.0,2014-02-01
Asia : North East Asia,Latin America : Central America,18712,9340,244651248.0,2014-09-01
Africa : Southern Africa,Asia : North East Asia,35029,13865,427671268.0,2014-05-01
Middle East,Latin America : Caribbean,4599,1127,56994068.0,2014-05-01
Asia : South Asia,Africa : Central/Western Africa,17687,9842,148526186.0,2014-07-01
Latin America : Central America,Asia : South Asia,2063,1481,34093320.0,2014-12-01
Latin America : Central America,Africa : North Africa,1271,491,14446002.0,2014-12-01
Africa : Southern Africa,Latin America : Upper South America,1316,500,19073887.0,2014-06-01
Latin America : Upper South America,Europe : Eastern/Central Europe,4490,2405,47646057.0,2014-09-01
Latin America : Caribbean,Asia : North East Asia,5353,1715,80759756.0,2014-09-01
Asia : North East Asia,North America,857147,353488,8741382869.0,2014-03-01
Europe : Western Europe,North America,2154173,1310520,15859804276.0,2014-05-01
Africa : Eastern Africa,North America,34234,18007,476959044.0,2014-11-01
Asia : South Asia,Latin America : Upper South America,1041,848,16661570.0,2014-10-01
Latin America : Lower South America,Latin America : Upper South America,147944,96529,575983520.0,2014-02-01
Latin America : Caribbean,Asia : South Asia,1401,769,21197921.0,2014-10-01
Africa : Southern Africa,Europe : Eastern/Central Europe,9376,5272,91157123.0,2014-04-01
Africa : Central/Western Africa,Africa : Southern Africa,45572,24925,207029670.0,2014-03-01
Southwest Pacific,Asia : North East Asia,396058,121282,2687748758.0,2014-04-01
Asia : Central Asia,Africa : Central/Western Africa,294,36,2572342.0,2014-03-01
North America,Asia : North East Asia,758400,293243,7741470484.0,2014-02-01
Middle East,Latin America : Upper South America,4722,3849,60990043.0,2014-06-01
Asia : South Asia,Latin America : Caribbean,3777,796,56380400.0,2014-08-01
Africa : North Africa,Asia : Central Asia,827,227,4124120.0,2014-07-01
Asia : Central Asia,Latin America : Central America,57,17,794470.0,2014-08-01
Southwest Pacific,Latin America : Caribbean,609,403,11133696.0,2014-12-01
Africa : Southern Africa,North America,45562,25516,677653695.0,2014-03-01
Asia : North East Asia,Europe : Eastern/Central Europe,658909,221458,2795078381.0,2014-05-01
Latin America : Caribbean,Africa : North Africa,1774,170,17050414.0,2014-06-01
North America,Latin America : Caribbean,917340,350742,2565488644.0,2014-09-01
Africa : North Africa,Latin America : Lower South America,3432,2579,37909673.0,2014-06-01
Latin America : Upper South America,Europe : Eastern/Central Europe,4666,2297,51008610.0,2014-11-01
Southwest Pacific,Africa : North Africa,4981,1453,76998962.0,2014-05-01
Europe : Eastern/Central Europe,Africa : Central/Western Africa,11608,5585,74387934.0,2014-07-01
Africa : Southern Africa,Africa : Eastern Africa,59455,37062,181499821.0,2014-11-01
North America,Europe : Eastern/Central Europe,307500,207202,2601879434.0,2014-07-01
Europe : Western Europe,North America,1560441,843130,11445215846.0,2014-11-01
Africa : Central/Western Africa,Latin America : Central America,1656,384,22560253.0,2014-03-01
Latin America : Caribbean,Africa : Southern Africa,1722,544,24662541.0,2014-04-01
Europe : Eastern/Central Europe,Europe : Eastern/Central Europe,3197079,1328222,4145994496.0,2014-08-01
Latin America : Upper South America,Asia : South East Asia,2988,1209,55794911.0,2014-10-01
Asia : North East Asia,Southwest Pacific,419650,116569,2838508804.0,2014-07-01
Southwest Pacific,Middle East,43248,21666,539079921.0,2014-11-01
Latin America : Lower South America,Africa : Eastern Africa,3031,693,32286232.0,2014-03-01
Asia : South Asia,Africa : Central/Western Africa,15877,10395,133748884.0,2014-03-01
Latin America : Upper South America,Africa : Eastern Africa,144,126,2272253.0,2014-03-01
Asia : South Asia,Africa : Central/Western Africa,16835,5892,140259316.0,2014-12-01
Asia : North East Asia,Latin America : Caribbean,6619,1315,103944633.0,2014-07-01
Asia : South East Asia,North America,286307,206686,3811228888.0,2014-03-01
Latin America : Upper South America,Middle East,5619,3478,71023302.0,2014-03-01
Asia : South East Asia,Africa : Central/Western Africa,11949,7642,142580223.0,2014-03-01
Asia : South Asia,Middle East,1301731,796197,3859435563.0,2014-03-01
Europe : Western Europe,Latin America : Central America,157272,89101,1465176972.0,2014-03-01
Asia : North East Asia,Europe : Western Europe,807304,290778,7505726566.0,2014-12-01
Europe : Western Europe,Latin America : Lower South America,338822,240913,3366510176.0,2014-05-01
Middle East,Asia : South Asia,1397773,424656,4177567893.0,2014-12-01
Asia : South East Asia,Asia : South Asia,432781,140683,1377532319.0,2014-03-01
Africa : Central/Western Africa,Latin America : Upper South America,869,366,10591562.0,2014-09-01
Europe : Eastern/Central Europe,Europe : Western Europe,2900644,593454,4527454902.0,2014-12-01
Southwest Pacific,Middle East,48098,23878,608667239.0,2014-04-01
Asia : North East Asia,Latin America : Central America,19379,8049,258194819.0,2014-05-01
Southwest Pacific,North America,179855,117805,2209300600.0,2014-08-01
Asia : South Asia,Middle East,1484689,525527,4419596109.0,2014-12-01
Latin America : Central America,Southwest Pacific,2989,1452,37121634.0,2014-05-01
Latin America : Upper South America,Southwest Pacific,2161,1251,34744223.0,2014-03-01
Africa : Southern Africa,Africa : Southern Africa,1340793,623827,1262428207.0,2014-10-01
North America,Africa : North Africa,58036,21732,517191685.0,2014-11-01
Latin America : Caribbean,Asia : South East Asia,2708,1231,47466587.0,2014-08-01
Africa : North Africa,Africa : Eastern Africa,22459,5695,51233522.0,2014-01-01
Asia : South East Asia,Europe : Western Europe,484563,274132,5076327131.0,2014-06-01
Africa : Central/Western Africa,Asia : Central Asia,932,123,7622452.0,2014-09-01
North America,Europe : Eastern/Central Europe,179613,83311,1546211495.0,2014-12-01
Asia : South East Asia,Asia : South East Asia,15347519,841087,13475619391.0,2014-04-01
North America,Africa : Central/Western Africa,71335,42994,763389185.0,2014-07-01
